order_date,order_id,customer,grand_total
2011-09-07,CA-2011-100006,Dennis Kane,378
2011-07-08,CA-2011-100090,Ed Braxton,699
2011-03-14,CA-2011-100293,Neil Franzšsisch,91
2011-01-29,CA-2011-100328,Jasper Cacioppo,4
2011-04-08,CA-2011-100363,Jim Mitchum,21
2011-05-25,CA-2011-100391,Barry Weirich,15
2011-04-18,CA-2011-100678,Kunst Miller,697
2011-12-16,CA-2011-100706,Laurel Elliston,129
2011-11-24,CA-2011-100762,Nat Gilpin,509
2011-03-26,CA-2011-100860,Cindy Stewart,19
2011-10-19,CA-2011-100867,Eugene Hildebrand,322
2011-03-28,CA-2011-100881,Daniel Raglin,302
2011-06-02,CA-2011-100895,Stewart Visinsky,605
2011-10-21,CA-2011-100916,Frank Hawley,789
2011-11-19,CA-2011-100972,Dennis Bolton,166
2011-12-02,CA-2011-101147,Matt Collins,2
2011-12-09,CA-2011-101175,Dario Medina,101
2011-08-27,CA-2011-101266,Michael Moore,13
2011-12-22,CA-2011-101364,Tamara Willingham,297
2011-12-07,CA-2011-101392,Ann Steele,269
2011-12-26,CA-2011-101427,Andy Yotov,8
2011-04-20,CA-2011-101462,Benjamin Patterson,60
2011-09-12,CA-2011-101476,Shirley Daniels,70
2011-11-28,CA-2011-101560,Chris Selesnick,542
2011-12-15,CA-2011-101602,Mick Crebagga,804
2011-03-31,CA-2011-101770,Karen Bern,2
2011-11-17,CA-2011-101833,Frank Gastineau,34
2011-10-28,CA-2011-101931,Todd Sumrall,1253
2011-09-30,CA-2011-102008,Russell Applegate,49
2011-10-04,CA-2011-102085,Joy Daniels,29
2011-11-21,CA-2011-102274,Dave Hallsten,866
2011-11-24,CA-2011-102295,Erica Hackney,121
2011-12-29,CA-2011-102330,Arianne Irving,409
2011-01-24,CA-2011-102645,Ionia McGrath,40
2011-04-06,CA-2011-102652,Andy Yotov,200
2011-11-01,CA-2011-102673,Ken Heidel,1044
2011-09-09,CA-2011-102869,Logan Currie,233
2011-04-05,CA-2011-102988,Greg Maxwell,4252
2011-07-23,CA-2011-103058,Alejandro Grove,100
2011-10-17,CA-2011-103086,Evan Bailliet,5
2011-12-20,CA-2011-103100,Adrian Barton,1108
2011-09-22,CA-2011-103191,Vivek Grady,332
2011-11-09,CA-2011-103219,Benjamin Farhat,57
2011-05-10,CA-2011-103310,Greg Matthias,1770
2011-07-05,CA-2011-103317,Don Miller,243
2011-08-26,CA-2011-103331,Karl Braun,31
2011-01-16,CA-2011-103366,Erica Hackney,150
2011-05-18,CA-2011-103373,Bruce Stewart,780
2011-11-21,CA-2011-103401,Georgia Rosenberg,13
2011-05-30,CA-2011-103429,Laurel Workman,765
2011-10-10,CA-2011-103492,Craig Molinari,1489
2011-09-09,CA-2011-103527,Chris Cortes,11
2011-11-30,CA-2011-103590,Jeremy Lonsdale,62
2011-08-25,CA-2011-103660,Mitch Webber,1008
2011-09-12,CA-2011-103702,Art Foster,64
2011-02-24,CA-2011-103744,Michael Grace,11
2011-01-04,CA-2011-103800,Darren Powers,16
2011-12-02,CA-2011-103807,Elizabeth Moffitt,21
2011-05-11,CA-2011-103849,Paul Gonzalez,225
2011-09-17,CA-2011-103940,Bradley Nguyen,261
2011-03-19,CA-2011-103989,Matt Connell,591
2011-08-25,CA-2011-104178,Janet Molinari,176
2011-03-01,CA-2011-104269,Dave Brooks,458
2011-06-27,CA-2011-104283,Liz MacKendrick,616
2011-06-17,CA-2011-104402,Duane Benoit,66
2011-06-02,CA-2011-104472,Christine Kargatis,133
2011-03-07,CA-2011-104563,Craig Molinari,1144
2011-12-30,CA-2011-104738,Stefania Perrino,610
2011-12-08,CA-2011-104773,Thomas Boland,60
2011-05-21,CA-2011-104780,Bradley Talbott,32
2011-02-05,CA-2011-104808,Mark Haberlin,17
2011-11-18,CA-2011-104829,John Grady,22
2011-12-09,CA-2011-104976,Cyma Kinney,35
2011-09-07,CA-2011-105165,Sam Zeldin,469
2011-04-04,CA-2011-105172,Paul Knutson,19
2011-11-28,CA-2011-105249,Duane Huffman,460
2011-11-11,CA-2011-105270,Arthur Prichep,143
2011-11-22,CA-2011-105340,Evan Henry,7
2011-01-08,CA-2011-105417,Vivek Sundaresam,87
2011-03-03,CA-2011-105648,Eva Jacobs,626
2011-05-30,CA-2011-105872,James Galang,70
2011-11-11,CA-2011-105893,Pete Kriz,666
2011-11-24,CA-2011-105984,Muhammed Yedwab,1661
2011-01-07,CA-2011-106054,Jack O'Briant,13
2011-06-07,CA-2011-106229,Nick Radford,269
2011-12-26,CA-2011-106264,Clytie Kelty,15
